feature,raw_feature,importance,direction,coefficient
equipment_type_game_jersey,categorical__equipment_type_game_jersey,2.489201,increases_risk,2.489201
equipment_type_training_equipment,categorical__equipment_type_training_equipment,2.201203,decreases_risk,-2.201203
field_surface_indoor,categorical__field_surface_indoor,1.029096,decreases_risk,-1.029096
equipment_type_gloves,categorical__equipment_type_gloves,0.903835,decreases_risk,-0.903835
age_days,numeric__age_days,0.816172,decreases_risk,-0.816172
field_surface_artificial_turf,categorical__field_surface_artificial_turf,0.783441,increases_risk,0.783441
equipment_type_football,categorical__equipment_type_football,0.628027,increases_risk,0.628027
usage_sessions,numeric__usage_sessions,0.625371,increases_risk,0.625371
equipment_type_cleats,categorical__equipment_type_cleats,0.623013,decreases_risk,-0.623013
practice_exposure_count,numeric__practice_exposure_count,0.615117,increases_risk,0.615117
material_condition_score,numeric__material_condition_score,0.573498,decreases_risk,-0.573498
inspection_score,numeric__inspection_score,0.568494,decreases_risk,-0.568494
equipment_type_helmet,categorical__equipment_type_helmet,0.549687,increases_risk,0.549687
equipment_type_shoulder_pads,categorical__equipment_type_shoulder_pads,0.533942,increases_risk,0.533942
game_exposure_count,numeric__game_exposure_count,0.478358,increases_risk,0.478358
repair_count,numeric__repair_count,0.474943,increases_risk,0.474943
equipment_type_practice_jersey,categorical__equipment_type_practice_jersey,0.456514,decreases_risk,-0.456514
storage_humidity,numeric__storage_humidity,0.376462,decreases_risk,-0.376462
fit_complaint_count,numeric__fit_complaint_count,0.328496,increases_risk,0.328496
field_surface_natural_grass,categorical__field_surface_natural_grass,0.261947,increases_risk,0.261947
vendor_Vendor_C,categorical__vendor_Vendor_C,0.260693,increases_risk,0.260693
vendor_Vendor_D,categorical__vendor_Vendor_D,0.243646,decreases_risk,-0.243646
season_Fall_2025,categorical__season_Fall_2025,0.2413,decreases_risk,-0.2413
season_Fall_2024,categorical__season_Fall_2024,0.239119,increases_risk,0.239119
rain_exposure_count,numeric__rain_exposure_count,0.203883,decreases_risk,-0.203883
storage_location_travel_trunk,categorical__storage_location_travel_trunk,0.199945,decreases_risk,-0.199945
storage_location_aux_storage,categorical__storage_location_aux_storage,0.132804,increases_risk,0.132804
vendor_Vendor_A,categorical__vendor_Vendor_A,0.095232,decreases_risk,-0.095232
vendor_Vendor_B,categorical__vendor_Vendor_B,0.094476,increases_risk,0.094476
laundry_cycles,numeric__laundry_cycles,0.094152,decreases_risk,-0.094152
storage_location_main_equipment_room,categorical__storage_location_main_equipment_room,0.083433,increases_risk,0.083433
surface_wear_score,numeric__surface_wear_score,0.019212,decreases_risk,-0.019212
season_Spring_2025,categorical__season_Spring_2025,0.018472,increases_risk,0.018472
impact_count,numeric__impact_count,0.017459,decreases_risk,-0.017459
